seed,model,run,n_turns,score_llm,score_b1_constrained_optimum,score_b2_random_uniform,score_per_turn_llm,score_per_turn_b1,score_per_turn_b2,agreement_llm_vs_b1
1,claude,seed001_claude.jsonl,8,2.4582843173327964,4.347020753308714,0.8074605620111388,0.30728553966659955,0.5433775941635892,0.10093257025139235,0.375
1,openai,seed001_openai.jsonl,8,3.7049355721859367,4.343742411174024,0.8041262509374357,0.4631169465232421,0.542967801396753,0.10051578136717947,0.75
2,claude,seed002_claude.jsonl,8,2.145701166259009,4.390448666722882,0.8425053761145642,0.26821264578237614,0.5488060833403603,0.10531317201432053,0.375
2,openai,seed002_openai.jsonl,8,4.179693099871719,4.38221462161108,0.8353051202633051,0.5224616374839649,0.547776827701385,0.10441314003291313,0.875
3,claude,seed003_claude.jsonl,8,1.925496019983966,4.412711753813225,0.8543724040511015,0.24068700249799574,0.5515889692266531,0.10679655050638769,0.25
3,openai,seed003_openai.jsonl,8,3.9578326134749657,4.410086418878684,0.851553009230284,0.4947290766843707,0.5512608023598355,0.1064441261537855,0.875
4,claude,seed004_claude.jsonl,8,1.8037367041782262,4.428734786151839,0.8620073544118175,0.22546708802227827,0.5535918482689799,0.10775091930147719,0.125
4,openai,seed004_openai.jsonl,8,3.2859452197226466,4.417962072267677,0.8519843936365772,0.41074315246533083,0.5522452590334597,0.10649804920457215,0.625
5,claude,seed005_claude.jsonl,8,1.7271049966544927,4.3862279563447535,0.8280901990000062,0.21588812458181159,0.5482784945430942,0.10351127487500078,0.125
5,openai,seed005_openai.jsonl,8,3.8702751456311453,4.3869661844288785,0.8281895251568636,0.48378439320389316,0.5483707730536098,0.10352369064460795,0.875
6,claude,seed006_claude.jsonl,8,1.8804211918364402,4.405060143602576,0.8479161441456289,0.23505264897955502,0.550632517950322,0.10598951801820361,0.125
6,openai,seed006_openai.jsonl,8,3.3621073075900547,4.401914682281607,0.8452727746987656,0.42026341344875684,0.5502393352852009,0.1056590968373457,0.75
7,claude,seed007_claude.jsonl,8,3.192457703015159,4.4234608198964045,0.8716088802536621,0.3990572128768949,0.5529326024870506,0.10895111003170777,0.625
7,openai,seed007_openai.jsonl,8,3.4944128649841213,4.416311142705128,0.8676833185725876,0.43680160812301516,0.552038892838141,0.10846041482157345,0.625
8,claude,seed008_claude.jsonl,8,2.99294006109447,4.405723808203802,0.8550884997587028,0.37411750763680873,0.5507154760254752,0.10688606246983785,0.5
8,openai,seed008_openai.jsonl,8,4.402033889051458,4.402033889051458,0.8547437496083159,0.5502542361314322,0.5502542361314322,0.10684296870103949,1.0
9,claude,seed009_claude.jsonl,8,3.2384775730727458,4.446241449285175,0.8816491367219293,0.4048096966340932,0.5557801811606469,0.11020614209024117,0.625
9,openai,seed009_openai.jsonl,8,4.135124831092577,4.437811952746661,0.8781208238860674,0.5168906038865722,0.5547264940933326,0.10976510298575842,0.875
10,claude,seed010_claude.jsonl,8,3.326831872624417,4.436721416853021,0.8764527321296982,0.41585398407805213,0.5545901771066276,0.10955659151621228,0.75
10,openai,seed010_openai.jsonl,8,4.050689603311261,4.432349533094462,0.8773874753076987,0.5063362004139076,0.5540436916368078,0.10967343441346233,0.75
11,claude,seed011_claude.jsonl,8,2.9419047890217316,4.434071165013247,0.8774614402186192,0.36773809862771645,0.5542588956266559,0.1096826800273274,0.625
11,openai,seed011_openai.jsonl,8,3.9207992983344564,4.425743168332457,0.8710389183632776,0.49009991229180705,0.5532178960415571,0.1088798647954097,0.75
12,claude,seed012_claude.jsonl,8,2.1884947777386676,4.406585524344832,0.8331421388243154,0.27356184721733345,0.550823190543104,0.10414276735303943,0.375
12,openai,seed012_openai.jsonl,8,4.201261304002049,4.404615425864625,0.8322071571776886,0.5251576630002561,0.5505769282330781,0.10402589464721107,0.875
13,claude,seed013_claude.jsonl,8,2.5652753940703263,4.352483657841596,0.8128640213085793,0.3206594242587908,0.5440604572301995,0.10160800266357241,0.375
