seed,replica,modelo,t,n_shocks,pib_usd_mm,crecimiento_pib,inflacion,deuda_pib,balance_fiscal_pib,pobreza_general,homicidios_100k,aprobacion_presidencial,indice_protesta,confianza_institucional,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros,delta_iva_pp,delta_isr_pp,n_reformas,ind_bienestar,ind_gobernabilidad,ind_desarrollo_humano,ind_estabilidad_macro,ind_estres_social
1,0,gpt-4o-mini,0,1,118558.81233347542,3.0946194204133923,4.204985311860437,30.38071086017471,-1.8807108601747071,52.74238364672155,16.73473307133156,44.87046848149208,29.382207364358234,26.178385826124018,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,58.53857600010282,42.828043374844256,68.32477628338661,74.27863154226606,35.45130764203823
1,0,gpt-4o-mini,1,1,122628.13195246768,3.432321511071076,4.015676184677623,32.69184139739261,-2.3111305372179003,49.87957942530615,15.950727925305378,42.096780886620316,31.104645897387904,27.281324405526735,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,60.25338221119726,41.64169079180055,69.0674458925091,74.86972014577807,33.816704396087296
1,0,gpt-4o-mini,2,0,127456.76523525505,3.9376227998474342,4.287664043057694,36.6198705369643,-3.928029139571694,47.514556278863644,16.101582978839094,43.41440668489963,27.89731272495761,28.37041258465195,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,61.71307562136809,42.73270906297817,69.86950267831567,73.29593664218771,32.06621529741555
1,0,gpt-4o-mini,3,0,131222.46706133295,2.9544934857928666,4.466156253723946,41.854769361701955,-5.234898824737655,45.66964018658612,15.520362254631612,46.7422795792188,21.04077169268933,29.00119874269202,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,62.906214166279355,45.09701251196351,70.55574649464064,68.8755397108277,29.543480662001294
1,0,gpt-4o-mini,4,2,135502.13302882767,3.2613820356649965,4.358889018240856,47.779287358713134,-5.924517997011179,43.70664966656327,15.507806789583165,42.00955626826712,28.151592606502234,29.629433541987716,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,64.15986585541012,42.39837238569022,71.27826019223426,68.25339954024231,30.106247742789392
1,0,gpt-4o-mini,5,4,137006.98985438055,1.1105779605939736,3.6024520195158813,54.562743017094434,-6.7834556583813015,42.37547518540516,16.738313823587735,36.40475171645289,42.859538413625096,29.51819189886775,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,65.0897118246227,37.94170860301787,71.74427658898546,61.60676984314089,32.95881548511453
1,0,gpt-4o-mini,6,0,141689.496168756,3.417713446118554,4.0000065575727115,62.12855510153079,-7.56581208443636,40.94039643595455,17.04134724943617,39.06904749057387,32.915732647803644,30.115777147873157,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,66.07280873133517,40.41242223892614,72.48522502592738,63.747835198948415,30.532910942855736
1,0,gpt-4o-mini,7,2,146941.3101543448,3.7065655024517343,3.910223564472622,69.49263888482471,-7.364083783293923,38.61286456563276,17.266124925524117,36.65642066378127,32.19930582091055,30.710380226427702,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,67.51328786249414,39.67980889490651,73.26016195987796,62.58776656059723,29.59172701813577
2,0,claude-haiku-4-5,0,1,117769.73705985489,2.40846700856948,3.917833129449562,31.510762382919708,-3.0107623829197077,53.91988362142351,16.317865946913823,44.62849753485225,32.85743389173934,25.972540102570843,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,1.5,2.0,2,57.764869167829964,41.30834900512566,68.01554412511423,71.56789680124969,36.72879026341129
2,0,claude-haiku-4-5,1,1,120627.4602689054,2.426534422504568,3.554689830035412,34.8774610389375,-3.3666986560177916,52.88002506836483,15.759184044183264,41.023266746889135,33.01669817976715,24.804619413936585,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,1.0,1,58.375177628653496,39.76918993856884,68.41127978409254,70.44498728953155,35.71892576354814
