seed,replica,modelo,t,n_shocks,pib_usd_mm,crecimiento_pib,inflacion,deuda_pib,balance_fiscal_pib,pobreza_general,homicidios_100k,aprobacion_presidencial,indice_protesta,confianza_institucional,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros,delta_iva_pp,delta_isr_pp,n_reformas,ind_bienestar,ind_gobernabilidad,ind_desarrollo_humano,ind_estabilidad_macro,ind_estres_social
1,0,Claude,0,1,118442.6623334754,2.9936194204133924,4.179735311860436,29.465810860174706,-0.9658108601747069,53.32773364672155,16.693483071331567,43.22309848149208,30.616347364358234,26.148085826124017,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,1.0,2.0,2,58.06834602986472,41.15434677484426,68.08497498567718,75.60280001545954,35.997547892038234
1,0,Claude,1,1,122498.51989804588,3.424321511071076,3.999641919052625,30.512841397392606,-1.0470305372179,50.467729425306146,15.90943667530538,40.34060829912031,32.3889248973879,27.253169405526737,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,59.78171724095917,40.14156983855055,68.8267020375473,77.14838843054994,34.37445669608729
1,0,Claude,2,0,127280.2385324606,3.9034909469881534,4.270070225330499,32.392683722250226,-1.8798423248576221,48.664652427364395,16.020476845900834,39.925223995451596,27.44898833435791,28.336241278794173,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,1.0,2,60.783175154785255,41.03047950977592,69.39689932526325,77.10940021690067,32.56481648109743
1,0,Claude,3,0,130992.00838457223,2.9162184915021228,4.446562587413082,35.790723231702884,-3.398039509452657,47.38313258308864,15.399123823445665,42.90693584637358,21.345092919280592,28.960670634425682,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,-0.5,2,61.51733502735754,42.75599667161239,69.85075485542556,72.85540975280097,30.48065052905308
1,0,Claude,4,2,135247.77922881846,3.248878230610793,4.344516734704839,39.684632293934484,-3.893909062231602,45.42451839483476,15.386447119966032,36.33588471406931,29.097413140413405,29.591233508445068,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,1.5,2,62.76874384645669,39.17594838066271,70.57179288799071,73.04598351717027,30.99002582103472
1,0,Claude,5,4,136689.2942499828,1.0658326734707668,3.5827994347187495,45.42445354624853,-5.739821252314046,44.65900476416977,16.578366676501073,28.767723670778263,42.576897698955435,29.472298284219537,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,2.0,2,63.238450534553444,34.05590953838974,70.80455822749805,65.19567710022942,33.705295218521776
1,0,Claude,6,0,141390.85493585787,3.4395968694348826,3.9939813013714622,52.979442882286,-7.554989336037472,43.76626681655845,16.839794238511175,30.88260728539763,33.80583619257599,30.083332602417073,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,0.5,2,63.773359685085204,36.28931492635302,71.32022781069305,66.08193481831533,31.703448707561677
1,0,Claude,7,2,146486.462252963,3.6039157691045656,3.8805169376816626,59.92546889051575,-6.946026008229751,41.474662352908176,17.064370361588196,26.370061335909124,32.10061294887721,30.65200744278588,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.5,2.0,2,65.19542602032502,34.73484448433254,72.08309706352154,65.30272346534134,30.577911092645408
1,0,OpenAI,0,1,118558.81233347542,3.0946194204133923,4.204985311860437,30.480710860174707,-1.980710860174707,52.74238364672155,16.73473307133156,44.87046848149208,29.382207364358234,26.178385826124018,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,58.53857600010282,41.92804337484426,68.32477628338661,74.11726790590242,35.45130764203823
1,0,OpenAI,1,1,122628.13195246768,3.432321511071076,4.015676184677623,33.891841397392604,-3.4111305372179,49.87957942530615,15.950727925305378,42.096780886620316,31.104645897387904,27.281324405526735,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,60.25338221119726,40.11169079180055,69.0674458925091,73.06972014577808,33.816704396087296
