seed,model,variant,draw,w_norm,cos_vs_identity,cos_to_stated,rhat_max,ess_bulk_min,w_anti_pobreza,w_anti_deuda,w_pro_aprobacion,w_pro_crecimiento,w_anti_desviacion_inflacion,w_pro_confianza
1,claude,identity,0,1.1373669508438091,1.0,0.7197174888280742,1.0,4737.0,1.1228143154053956,0.10495254473637464,-0.07543953712359056,0.07435029465852985,-0.09517941205890369,0.03997932951795598
1,claude,zscore,0,1.4935443092451466,0.680003661691329,0.4049650176021848,1.0,3832.0,0.8622248136752528,0.9944427330897201,-0.22619570572230033,0.02608491102986349,-0.6681921784818223,0.0009579725238763977
1,claude,minmax,0,1.3254524868172655,0.8853873679778185,0.633463384115742,1.0,4812.0,1.073778334270738,0.5736661501424116,-0.1020048965746412,0.14393829423424898,-0.4767110136989746,0.12788631587251278
1,claude,centered,0,1.1373669508645001,1.0,0.7197174888797805,1.0,4737.0,1.1228143154260246,0.10495254477344211,-0.07543953704061167,0.0743502946519036,-0.09517941205727456,0.039979329602704027
1,claude,multscale,0,1.1307243832198517,0.9985293908028332,0.734568718035834,1.0,5142.0,1.1135828818675804,0.09700442481369302,-0.066911741322638,0.13150238481105833,-0.08023098713005969,0.029221019015188112
1,claude,multscale,1,1.1225157019255045,0.9973741765981775,0.7265006295890639,1.0,4896.0,1.1006662657653976,0.1815822171273449,-0.067867295698921,0.06013432871389866,-0.07983415166401708,0.031742271676928537
1,claude,multscale,2,1.0633729043812297,0.996193839463862,0.7073701037141107,1.0,5588.0,1.036948360073159,0.17985821745449065,-0.06224081733151776,0.05801708531355145,-0.12452929497494208,0.020089974876038304
1,claude,multscale,3,0.9015570962170365,0.9977156338403355,0.696893916853705,1.0,4707.0,0.8957596581075377,0.06727986107674,-0.05784663260058699,0.01783377990111274,-0.0471994331209605,0.0010907997652472368
1,claude,multscale,4,0.9624210271363726,0.9954129214741888,0.730522700252567,1.0,5718.0,0.9457629659853356,0.16074740457957773,-0.05460845301654569,0.04199077051121331,-0.03143117149555277,0.014618176193096577
1,claude,multscale,5,0.9697184871801058,0.9994616905475839,0.7242029724212623,1.0,4846.0,0.9596210459737756,0.09469889487169839,-0.049309005116473494,0.04048083130845941,-0.06831647578338966,0.04214611797883631
1,claude,multscale,6,1.1143656922037268,0.9963568154976105,0.6954796560044101,1.0,5339.0,1.0896429782982189,0.17591861602974415,-0.07236071325219434,0.030409472321805513,-0.1304671552725071,0.018953334959855205
1,claude,multscale,7,0.9705426769797616,0.9967212887145706,0.7140862996773699,1.0,5084.0,0.9434890519637206,0.14666982565597333,-0.08300989567114894,0.07018385177111194,-0.12764821743771784,0.04646477872428467
1,claude,multscale,8,1.132644205056956,0.9995361996721507,0.7107646100423131,1.0,5141.0,1.1184777510483874,0.08947963296077385,-0.074268572812217,0.091669724225227,-0.09875209827599354,0.014583373513916746
1,claude,multscale,9,1.1465144604030266,0.9943374155628077,0.6895503564270983,1.0,5322.0,1.1118396538548947,0.1836624996283741,-0.07141804747729157,0.07239756991684511,-0.18432193582550302,0.01611076030280712
1,openai,identity,0,2.0033606243235598,1.0,0.7202370915747487,1.0,5465.0,1.9429078079835633,-0.004045673642354169,-0.3863204810912538,0.28641089380828305,-0.023180808814785875,0.08206466469450771
1,openai,zscore,0,1.9357409110944013,0.8749800648233945,0.7675851657408491,1.0,3735.0,1.4698662583446995,-0.1877881564636607,-0.6834790383749669,0.7338801933524887,-0.09810258702723547,0.732102324871205
1,openai,minmax,0,2.004222747767233,0.9601307575935151,0.8029618777273897,1.0,5135.0,1.8233540194301487,-0.14940520220373346,-0.2939889356360597,0.5280595434400353,-0.15448628537206038,0.5299289008795794
1,openai,centered,0,2.0033606244516373,1.0,0.7202370916264084,1.0,5465.0,1.9429078080196616,-0.00404567354671354,-0.38632048148436926,0.2864108939823785,-0.023180808258149343,0.08206466467024404
1,openai,multscale,0,2.0218567636084135,0.9933819753454575,0.7360289323382913,1.0,6193.0,1.9209410026179594,-0.016635909428263228,-0.36055761989961804,0.5131634199963022,-0.04036561685163509,0.051437414533598326
1,openai,multscale,1,1.7437564207498388,0.9954682637132376,0.7544036066723963,1.0,5168.0,1.65490314491463,0.0037327123551354857,-0.3620836710674246,0.37648302078612467,-0.0358664601878215,0.16684618651954802
1,openai,multscale,2,1.9436062202890525,0.9953282005721625,0.7522023158304985,1.0,4936.0,1.8431639966144875,-0.0019319252744140062,-0.399256594814051,0.4459723133625586,-0.015266948298176144,0.14770807796575608
