seed,model,prior_sigma,w_norm,cos_to_stated,rhat_max,ess_bulk_min,diverging,significantly_misaligned,w_anti_pobreza,w_anti_deuda,w_pro_aprobacion,w_pro_crecimiento,w_anti_desviacion_inflacion,w_pro_confianza
1,claude,0.1,0.023857770278311194,0.696403908894112,1.0,6972.0,0,True,0.023537552927492378,0.002338632758864111,-0.0024515833672011113,0.001353464188903823,-0.0013285190106726568,-0.00031703718808787356
1,claude,0.25,0.13746833051796173,0.7329958286058812,1.0,5330.0,0,True,0.13539696538596965,0.009188059526883735,-0.010082332578945204,0.014298913402012434,-0.011298817725187841,0.00685620777826998
1,claude,0.5,0.4597774814925082,0.7030501803379794,1.0,5005.0,0,True,0.45602864034911333,0.012450283414389791,-0.035674257569352955,0.0323339843024559,-0.030467583516288324,0.005638197630106105
1,claude,1.0,1.1373669508438091,0.7197174888280742,1.0,4737.0,0,True,1.1228143154053956,0.10495254473637464,-0.07543953712359056,0.07435029465852985,-0.09517941205890369,0.03997932951795598
1,claude,2.0,1.862933893904645,0.6722550985325929,1.0,5304.0,0,True,1.779043332122751,0.41211804778495914,-0.08590429926619236,0.08529872957224348,-0.3478309367742053,-0.006666910974387798
1,claude,5.0,3.70079069955564,0.43578463342391766,1.0,3690.0,0,True,2.209010026217814,2.3510305692498896,-0.1720509229115855,0.0810024233839464,-1.7982051777200412,0.13811949388581712
1,claude,10.0,10.20794252584737,0.17706615322407368,1.0,3855.0,0,True,2.3799771063186204,8.073693996658706,-0.29798685146680426,0.12334998105812349,-5.765162713752512,0.11023763061337405
1,openai,0.1,0.04262599644486896,0.7206006174413402,1.0,5434.0,0,True,0.04135043671152251,-0.0021216233613807907,-0.007554370692376279,0.006210500151259317,-0.0007780703518805548,0.0025241729017036153
1,openai,0.25,0.23768934846244827,0.7090483074662945,1.0,5228.0,0,True,0.23123128529047493,0.0035845185568632648,-0.048028462509699124,0.023727353023930975,-0.00518434271801809,0.010902862016367967
1,openai,0.5,0.8170552715492508,0.7075928473693585,1.0,5172.0,0,True,0.7963969525078464,-0.007444700833460365,-0.1600615549278909,0.08121490522397273,-0.004107812852509349,0.03230094285359248
1,openai,1.0,2.0033606243235598,0.7202370915747487,1.0,5465.0,0,True,1.9429078079835633,-0.004045673642354169,-0.3863204810912538,0.28641089380828305,-0.023180808814785875,0.08206466469450771
1,openai,2.0,3.5372432802364204,0.7463685393665209,1.0,4399.0,0,True,3.3314841730987546,-0.017616352887678363,-0.8025364956610408,0.8304748892477675,-0.03684031752947336,0.27907403058415464
1,openai,5.0,6.748324763582883,0.7790451645556531,1.0,3030.0,0,True,4.9154605375970615,0.15579499656814969,-1.7392974083718842,4.078282671087484,-0.16786939662044503,1.2915640064561207
1,openai,10.0,14.267577464938812,0.693302875885607,1.0,2341.0,0,True,6.205633572972259,0.532194830138476,-3.005444169998114,11.93225140900196,-0.4413889821300041,3.628292264778646
2,claude,0.1,0.02276395645751159,0.6148370073691306,1.0,5024.0,0,True,0.020858253769062588,0.0012827997474413853,-0.008977918930659206,-0.00036860641311347924,0.0002461789967198776,0.0008281817440217876
2,claude,0.25,0.12971064701461557,0.6207157767358168,1.0,5222.0,0,True,0.11843493598497265,0.002479553695411264,-0.052397048759174863,0.004117546453482803,0.004450100143368908,0.003108279572891702
2,claude,0.5,0.4403684703327692,0.5755245334551637,1.0,5374.0,0,True,0.3973726253582731,-0.00427598857912702,-0.1896118061099814,0.004203518657436982,0.005245863734153925,-0.001810118520377221
2,claude,1.0,1.0656305087581315,0.5726983149230244,1.0,5418.0,0,True,0.9702982228558029,-0.0016891750515191095,-0.43934104123109335,-0.031850357387226275,-0.0028029458107409764,0.006635836473040923
2,claude,2.0,1.7449637982752793,0.5304602779643224,1.0,4374.0,0,True,1.57517396312353,-0.027029773436008476,-0.7199161503733867,-0.19381073380454067,0.06848122490968903,-0.04963358001974772
2,claude,5.0,2.6242837812035185,0.3521493805166405,1.0,3685.0,0,True,2.06070361017422,0.08116846718927286,-0.9251291599870638,-1.109777555180701,0.623506502566586,-0.39692207277106106
2,claude,10.0,4.204680703479088,0.26049299409215476,1.0,3467.0,0,True,2.3088493669679386,1.0421024281329234,-1.0340491891825645,-2.415494000923067,1.9898358902380582,-0.6318710975481359
2,openai,0.1,0.04691789803946355,0.7304588377644968,1.0,5135.0,0,True,0.04635485208453463,-0.0004180433262960708,0.006460945650111921,0.0029453094871849874,-0.0012923982083040643,0.0005031149390775344
2,openai,0.25,0.2662806620863348,0.7244059525136869,1.0,5591.0,0,True,0.2634012283158972,-0.0003220771504287584,0.03522713590022134,0.01246169289756529,-0.010749032412626754,0.003646038632403934
2,openai,0.5,0.9015914682808496,0.7260247594920846,1.0,5686.0,0,True,0.8916741559884267,-0.015032548653823235,0.12307143016423219,0.04370419330375299,-0.0200348689114106,0.010018397717047383
2,openai,1.0,2.2199079484673407,0.7162738486606429,1.0,5229.0,0,True,2.1896870513042033,-0.049601327443945416,0.3511048781827013,0.0668162362801548,-0.05394874666308752,0.012333416158018692
2,openai,2.0,4.053003337052016,0.6997424669943169,1.0,5027.0,0,True,3.944823886309494,-0.15169928733146085,0.8971093143916651,0.014937808448691168,-0.1880201904086681,0.04252093941954388
2,openai,5.0,7.533352636233734,0.6120575286187376,1.0,2904.0,0,True,7.070368306563823,-0.7776819751271555,2.266136191382262,-0.51807040913194,-0.8499681966393042,-0.17403613113654362
2,openai,10.0,12.217213608820323,0.4656182633271567,1.0,2509.0,0,True,10.638347860592033,-2.7282818512841747,3.9951753044485834,-1.342201697320329,-3.1987003398474694,-0.8048144673333871
3,claude,0.1,0.01677223890286495,0.7343594623348049,1.0,4174.0,0,True,0.01560544481290255,0.004388248292158698,-0.003255742733469069,0.0015261170377775686,0.002293851566503401,-0.0005750808325043941
3,claude,0.25,0.10946102962869858,0.6092465936865434,1.0,5589.0,0,True,0.09911999849326808,0.007807682463973833,-0.04549752502776169,-0.0020447516958570435,0.003123298212973097,0.003467306697487908
3,claude,0.5,0.35463410695424724,0.6012948117922368,1.0,4754.0,0,True,0.32376617765238885,0.019181384922314672,-0.14306221200342126,0.009918125322567358,-0.00028103542213053073,-0.0027643809299330267
3,claude,1.0,0.8660884174276756,0.5924196406854527,1.0,4687.0,0,True,0.7902186429665448,0.06778480782065176,-0.3415268229943424,-0.0473293008527317,0.04600063317250419,-0.008495360093411881
3,claude,2.0,1.4481448427421306,0.5074859264493623,1.0,4767.0,0,True,1.2528836145870512,0.3403364869059435,-0.5312919368262541,-0.32544438331546843,0.10205999673196432,-0.11391135957106795
3,claude,5.0,3.105434351637246,0.29995152179354556,1.0,4581.0,0,True,1.662170309080481,1.8080955446291813,-0.6851727304075899,-1.5145958399087232,0.8098374550813671,-0.4386387408977648
3,claude,10.0,8.48856095706761,0.22003320222981923,1.0,3621.0,0,True,1.9512232857915464,6.299143863185322,-0.767697240811989,-3.731991784761826,3.643301044308664,-0.8822795289427503
3,openai,0.1,0.04383991071250837,0.6956791232101014,1.0,5739.0,0,True,0.04313689415524471,-0.0008594636095726069,-0.006315004953053507,0.004349973679024171,0.0008309608741465802,-0.0009567662640820457
3,openai,0.25,0.26436760013742827,0.7020841972988117,1.0,5564.0,0,True,0.25958502070790446,0.0006575970882800549,-0.046591498828490695,0.01615758277343449,-0.00023453055611633616,0.008574517118886644
3,openai,0.5,0.8793076250815869,0.6950684389875593,1.0,5501.0,0,True,0.8652527549350144,-0.014932663846958204,-0.14609935566875568,0.051313716036874416,0.003261238558023016,0.017545093249995664
3,openai,1.0,2.1521831063795407,0.7032294975284604,1.0,5246.0,0,True,2.1139170930805666,-0.01832245584573578,-0.3637253595305473,0.16775637310447547,0.005585839465463435,0.04941047554667652
3,openai,2.0,3.7994734551644567,0.7086446516166726,1.0,4105.0,0,True,3.6889981992605136,-0.06949079288354637,-0.7704510050688013,0.45980286293599376,-0.0005935852440584822,0.13209116449381883
3,openai,5.0,6.573913976779197,0.7352289087490975,1.0,2727.0,0,True,6.024381458908676,-0.09891070918610732,-1.8606457929162576,1.7736633009879936,-0.023805087255055066,0.5522125760164539
3,openai,10.0,10.664164206706088,0.7422063226593094,1.0,1812.0,0,True,8.072400089411099,-0.4070771265632453,-3.2013399526484148,5.980060809081678,-0.22989801351025307,1.527247644536562
4,claude,0.1,0.015472600137649804,0.7384460148721295,1.0,5329.0,0,True,0.014898550221195038,0.0010066276882802249,-0.0032360437803161785,-9.19649989924976e-05,0.0020056661657128945,0.0013849633012717195
4,claude,0.25,0.08282307333055032,0.700957136682274,1.0,5434.0,0,True,0.08074459876436528,-0.004005509444610839,-0.015808478731511744,0.008122322824207323,0.0016635789122625363,0.002297720114784992
4,claude,0.5,0.27208171404300435,0.6916265645381184,1.0,5251.0,0,True,0.2629284066714724,0.01370919035089822,-0.06352000318404889,0.011668471788235374,0.02312439393477375,-0.0018677656378180043
